hotel_name;location_name;rate;image_url;description;price;stars;parking;restaurant;pets;smoking;swimmingPool;beachFront;airConditioning;freeWiFi;sauna;fitness;category
Extended Stay America - Fairbanks - Old Airport Way;Ivano-Frankivsk;7;https://traffickcam.com/images/2017/4/20160304_233556_62JBML.jpg;Hotel 'Extended Stay America - Fairbanks - Old Airport Way' at  Ivano-Frankivsk with parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);864;5;1;0;1;1;1;1;0;1;0;0;2
Hilton Hangzhou Qiandao Lake Resort;Mariupol;7;https://traffickcam.com/images/2017/6/20160531_192304_U3A58L.jpg;Hotel 'Hilton Hangzhou Qiandao Lake Resort' at  Mariupol with parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);846;3;1;1;1;0;1;0;0;0;1;1;5
Taj Lands End;Ploeisti;2;https://traffickcam.com/images/2017/7/20160601_170837_1E0BPS.jpg;Hotel 'Taj Lands End' at  Ploeisti without parking place,  with restaurant,  not allowing pets, and etc. is waiting for you :);605;5;0;1;0;0;0;1;1;1;0;0;1
Cambridge Suites Hotel Sydney;Rio De Janeiro;7;https://traffickcam.com/images/2017/7/20160615_035051_7E8FIN.jpg;Hotel 'Cambridge Suites Hotel Sydney' at  Rio De Janeiro without parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);221;3;0;1;1;0;0;0;1;0;0;1;6
Tamanu Beach;Odessa;3;https://traffickcam.com/images/2017/7/20160623_014246_FVJ8K0.jpg;Hotel 'Tamanu Beach' at  Odessa with parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);82;2;1;0;0;0;1;0;1;0;1;1;3
The Inn at the Tides;Taipei City;9;https://traffickcam.com/images/2017/7/20160623_043526_D5U9K3.jpg;Hotel 'The Inn at the Tides' at  Taipei City with parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);861;2;1;0;1;1;1;1;0;0;0;1;2
The Riverhouse Hotel & Convention Center;Chengdu;10;https://traffickcam.com/images/2017/7/20160623_140137_ORGNQH.jpg;Hotel 'The Riverhouse Hotel & Convention Center' at  Chengdu with parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);151;4;1;0;1;1;0;0;1;1;0;0;5
San Jose Airport Inn;Myrtle Beach;4;https://traffickcam.com/images/2017/7/20160623_144153_FV0P5K.jpg;Hotel 'San Jose Airport Inn' at  Myrtle Beach without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);659;3;0;1;0;0;1;1;0;0;0;0;2
Gateway Hotel and Conference Center;Odessa;4;https://traffickcam.com/images/2017/7/20160623_152144_T32PFR.jpg;Hotel 'Gateway Hotel and Conference Center' at  Odessa with parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);113;5;1;0;1;0;0;0;0;1;1;0;5
Lindos Princess Beach Hotel All Inclusive;Baguio;4;https://traffickcam.com/images/2017/7/20160623_152802_SM5BYQ.jpg;Hotel 'Lindos Princess Beach Hotel All Inclusive' at  Baguio without parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);565;1;0;1;1;1;1;0;0;1;1;0;1
